Project No,Project Name,Status,Progress,Assigned To,Related To,Start Date,Target End Date,Total Project Samples,Sample # Range,Purchase Order No,General Description,No of Samples Stored,No of Samples Disposed Of,Net Weight of Material,Material Retrieved By,Date Destroyed,Location Destroyed,Method Used,Description Information,Person Responsible,Witnesses Present,Max Project Time (Days),Actual End Date,Work Type,GoogleDocs Link,Created Time,Modified Time,Number of Liquid Samples,Liquid Analysis Description,Est Hrs Analyst Liquid ,Est Hrs Instrument Liquid,Number of Solid Samples,Solid Analysis Description,Est Hrs Instrument Solid ,Est Hrs Analyst Solid ,Number of Gas Samples,Gas Analysis Description,Est Hrs Analyst Gas,Est Hrs Instrument Gas
P8798,1693 W 64 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-01,2012-05-02,9,AR-23137-01 to AR-23145-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-05-01 18:55:44,2012-05-07 04:22:02,,,,,,,,,,,,
P8797,1509 Parkway Blvd Coq,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-01,2012-05-02,2,AR-23135-01 to AR-23136-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-05-01 18:14:51,2012-05-07 04:21:37,,,,,,,,,,,,
P8796,8668 Commerce  Crt Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-30,2012-05-01,1,AR-23134-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-30 19:57:54,2012-05-07 04:21:06,,,,,,,,,,,,
P8795,Feedlot Health FHMS Chinook,9. Billed,100%,BMLC,Contacts::::Cassie Kirkpatrick,2012-04-30,2012-05-04,1,,,,,,,,,,,,,,,2012-05-04,--none--,,2012-04-30 19:03:01,2012-05-10 18:04:56,,,,,,,,,,,,
P8794,14751 Ave Surrey,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-30,2012-05-01,1,AR-23133-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-30 18:28:41,2012-05-07 04:20:43,,,,,,,,,,,,
P8793,6337 Caulwynd Pl Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-30,2012-05-01,3,AR-23130-01 to AR-23132-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-30 18:16:39,2012-05-07 04:20:21,,,,,,,,,,,,
P8792,5654 E Kilmore Cres Sry,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-30,2012-05-01,2,AR-23128-01 to AR-23129-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-30 18:12:28,2012-05-07 04:19:55,,,,,,,,,,,,
P8791,7081 Sherritt Crt Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-30,2012-05-01,1,AR-23126-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-30 18:07:48,2012-05-07 04:19:29,,,,,,,,,,,,
P8790,Airvironment AV2704,9. Billed,100%,BMLC,Accounts::::AirVironment Canada,2012-04-30,2012-04-30,3,AR-23123-01 to AR-23125-01,,,,,,,,,,,,,,2012-04-30,--none--,,2012-04-30 15:37:51,2012-05-07 19:19:16,,,,,,,,,,,,
P8789,CNRL April 2012,9. Billed,100%,BMLC,Contacts::::Darren Finnamore,2012-05-02,2012-05-09,44,AR-23079-01 to AR-23122-01,,,,,,,,,,,,,,2012-05-09,Analysis,,2012-04-28 05:48:27,2012-05-10 01:54:12,,,,,,,,,,,,
P8787,Ken Zandee,9. Billed,100%,BMLC,Contacts::::Ken Zandee,2012-04-26,2012-04-30,2,,,,,,,,,,,,,,,2012-04-27,--none--,,2012-04-27 19:31:21,2012-05-01 02:34:22,,,,,,,,,,,,
P8786,Sharon Lucas 7760 Morley St Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-27,2012-04-30,2,AR-23073-01 to AR-23074-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-27 18:46:32,2012-05-01 05:40:18,,,,,,,,,,,,
P8785,2640 Fromme Rd N Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-27,2012-04-30,3,AR-23070-01 to AR-23072-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-27 18:36:51,2012-05-01 05:39:56,,,,,,,,,,,,
P8784,22939 Cliff Ave MR,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-27,2012-04-30,5,AR-23065-01 to AR-23069-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-27 18:27:06,2012-05-01 05:39:30,,,,,,,,,,,,
P8783,4470 Canterbury Crs N Vam,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-27,2012-04-30,1,AR-23064-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-27 18:21:41,2012-05-01 05:39:05,,,,,,,,,,,,
P8782,4470 Canterbury Crs N Vam,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-26,2012-04-27,1,AR-23063-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-27 17:57:41,2012-05-01 05:38:36,,,,,,,,,,,,
P8781,P8781 Terrawest ABCR12-02,9. Billed,100%,BMLC,Contacts::::Erich Bell,2012-04-25,2012-05-02,4,AR-23059-01 - AR23062-01,,,,,,,,,,,,,,2012-05-03,Analysis,,2012-04-27 05:46:37,2013-05-01 18:19:33,,,,,,,,,,,,
P8780,P8780 Terrawest KJOR12-01,9. Billed,100%,BMLC,Contacts::::Mathew Isenor,2012-04-25,2012-04-30,2,AR-23057-01 - AR-23058-01,,,,,,,,,,,,,,2012-05-02,Analysis,,2012-04-27 02:07:53,2013-05-01 19:14:05,,,,,,,,,,,,
P8779,Sam Singh - Irrigation Water,9. Billed,100%,BMLC,Contacts::::Sam Singh,2012-04-26,2012-04-27,1,,,,,,,,,,,,,,,2012-04-30,Analysis,,2012-04-27 01:44:52,2012-05-10 18:39:01,,,,,,,,,,,,
P8778,100 Laval St Coq,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-26,2012-04-27,1,AR-23046-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-04-26 20:57:02,2012-05-01 05:37:56,,,,,,,,,,,,
P8777,Airvironment AV2404,9. Billed,100%,BMLC,Contacts::::Parvin Kassam,2012-04-25,2012-04-26,3,AR-23022-01 - AR-23024-01,,,,,,,,,,,,,,2012-04-26,Analysis,,2012-04-26 20:15:31,2012-05-01 01:45:52,,,,,,,,,,,,
P8776,7109 116 St Delta,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-26,2012-04-27,2,AR-23012-01 to AR-23013-01,,,,,,,,,,,,,,2012-04-27,--none--,,2012-04-26 17:19:49,2012-05-01 05:37:24,,,,,,,,,,,,
P8775,Airvironment AV-1904,9. Billed,100%,BMLC,Contacts::::Parvin Kassam,2012-04-25,2012-04-26,8,,,,,,,,,,,,,,,2012-04-26,--none--,,2012-04-26 02:44:40,2012-05-01 01:47:37,,,,,,,,,,,,
P8774,Western Site - 283 Haddon Rd. SW,9. Billed,100%,BMLC,Contacts::::Bill Barnes,2012-04-25,2012-04-26,3,AR-23009-01 - AR-23011-01,,,,,,,,,,,,,,2012-04-26,--none--,,2012-04-26 02:42:43,2012-05-01 05:40:42,,,,,,,,,,,,
P8773,Mt Royal Univ - Soil/Water Samples,9. Billed,100%,BMLC,Contacts::::Israel Dunmade,2012-04-25,2012-05-01,9,AR-23047-01 - AR-23054-01,,,,,,,,,,,,,,2012-05-02,Analysis,,2012-04-26 02:40:59,2012-05-10 18:24:55,,,,,,,,,,,,
P8772,"Feedrite Waters April 25, 2012",9. Billed,100%,BMLC,Contacts::::Shannon Fox,2012-04-25,2012-04-27,1,AR-23008-01,,,,,,,,,,,,,,2012-04-27,Analysis,,2012-04-26 02:39:33,2012-05-01 05:03:13,,,,,,,,,,,,
P8771,Feedlot Health FHMS 1157,9. Billed,100%,BMLC,Contacts::::Cassie Kirkpatrick,2012-04-25,2012-05-01,8,AR-23039-01 - AR-23045-01,,,,,,,,,,,,,,2012-05-01,Analysis,,2012-04-26 02:33:13,2012-05-10 18:09:41,,,,,,,,,,,,
P8770,P8770 Terrawest ABCP12-01,9. Billed,100%,BMLC,Contacts::::Erich Bell,2012-04-20,2012-04-26,4,AR-23004-01 - AR-23007-01,,,,,,,,,,,,,,2012-04-26,Analysis,,2012-04-26 02:31:30,2013-05-01 17:32:47,,,,,,,,,,,,
P8769,Rambridge - Fertilizer Tests,9. Billed,100%,BMLC,Contacts::::Doug Anderson,2012-04-24,2012-04-26,7,AR-22997-01 - AR-23003-01,,,,,,,,,,,,,,2012-04-26,Analysis,,2012-04-26 02:27:27,2012-05-03 04:51:59,,,,,,,,,,,,
P8768,P8768 Terrawest COTC12-01,9. Billed,100%,BMLC,Contacts::::Blair Irwin,2012-04-20,2012-04-27,1,AR-22996-01,,,,,,,,,,,,,,2012-04-27,Analysis,,2012-04-26 00:27:20,2013-05-01 19:18:15,,,,,,,,,,,,
P8767,P8767 Terrawest ARSB12-01,9. Billed,100%,BMLC,Contacts::::Blair Irwin,2012-04-20,2012-04-27,6,AR-22990-01 - AR-22995-01,,,,,,,,,,,,,,2012-04-30,Analysis,,2012-04-25 20:04:43,2013-05-01 19:15:41,,,,,,,,,,,,
P8766,C5 Plus - 8812,9. Billed,100%,BMLC,Contacts::::Curt Lamontagne,2012-04-19,2012-04-25,8,Ar-22982-01 - AR22989-01,,,,,,,,,,,,,,2012-04-26,Analysis,,2012-04-25 18:14:00,2012-05-01 01:30:35,,,,,,,,,,,,
P8765,1167 E 17 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-24,2012-04-25,2,AR-22980-01 - AR-22981-01,,,,,,,,,,,,,,2012-04-25,--none--,,2012-04-24 23:57:36,2012-05-01 05:36:57,,,,,,,,,,,,
P8764,152 100 Laval St Coq,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-24,2012-04-25,3,AR-22974-01 to AR-22976-01,,,,,,,,,,,,,,2012-04-25,--none--,,2012-04-24 23:53:07,2012-05-01 05:36:35,,,,,,,,,,,,
P8763,6211 Boundary Dr W Sry,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-24,2012-04-25,2,AR-22963-01 to AR-22964-01,,,,,,,,,,,,,,2012-04-25,--none--,,2012-04-24 17:25:00,2012-05-01 05:36:10,,,,,,,,,,,,
P8762,"Feedrite Waters April 18, 2012",9. Billed,100%,BMLC,Contacts::::Shannon Fox,2012-04-19,2012-04-23,2,AR-22961-01 - AR-22962-01,,,,,,,,,,,,,,2012-04-23,Analysis,,2012-04-23 19:30:30,2012-05-01 05:04:50,,,,,,,,,,,,
P8761,2095 W 29 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-23,2012-04-24,4,AR-22957-01 to AR-22960-01,,,,,,,,,,,,,,2012-04-24,--none--,,2012-04-23 17:22:53,2012-05-01 05:35:45,,,,,,,,,,,,
P8760,Geoff Hill - Doggie Poo,9. Billed,100%,BMLC,Contacts::::Geoff B. Hill,2012-04-19,2012-04-23,6,AR-22947-01 - AR-22952-01,,,,,,,,,,,,,,2012-04-24,Analysis,,2012-04-20 23:29:50,2012-05-10 18:17:33,,,,,,,,,,,,
P8759,1099 Hillside W Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-20,2012-04-23,1,AR-22946-01,,,,,,,,,,,,,,2012-04-23,--none--,,2012-04-20 23:19:34,2012-04-26 05:55:23,,,,,,,,,,,,
P8758,21163 Lougheed Hwt,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-20,2012-04-23,2,AR-22944-01 AR-22945-01,,,,,,,,,,,,,,2012-04-23,--none--,,2012-04-20 20:12:49,2012-04-26 05:55:02,,,,,,,,,,,,
P8757,P8757 Terrawest JSCY12-01,9. Billed,100%,BMLC,Contacts::::Mathew Isenor,2012-04-18,2012-04-23,8,AR-22934-01 - Ar-22941-01,,No Electronic C of C provided.,,,,,,,,,,,,2012-04-24,Analysis,,2012-04-20 19:51:13,2013-05-01 19:19:37,,,,,,,,,,,,
P8756,Aasma Ahmed - Foliage,9. Billed,100%,BMLC,Contacts::::Aasma Ahmad,2012-04-17,2012-04-23,2,AR-22932-01 - AR-22933-01,,,,,,,,,,,,,,2012-04-23,Analysis,,2012-04-20 17:52:15,2012-05-03 04:56:19,,,,,,,,,,,,
P8755,All seasons,9. Billed,100%,BMLG,Contacts::::Stan Bittorf,2012-04-20,2012-04-24,9,AR-22965-01 - AR-22973-01,,,,,,,,,,,,,,2012-04-24,Analysis,,2012-04-20 17:34:29,2012-05-01 03:27:11,,,,,,,,,,,,
P8754,1167 E 17 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-20,2012-04-23,2,AR-22930-01 to AR-22931-01,,,,,,,,,,,,,,2012-04-21,--none--,,2012-04-20 17:34:14,2012-04-26 05:54:37,,,,,,,,,,,,
P8753,223 East 17 Ave N Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-19,2012-04-20,1,,,,,,,,,,,,,,,2012-04-20,--none--,,2012-04-19 21:12:32,2012-04-26 05:53:46,,,,,,,,,,,,
P8752,Calgary,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-19,2012-04-20,6,AR-22923-01 to AR-22928-01,,,,,,,,,,,,,,2012-04-20,--none--,,2012-04-19 20:59:33,2012-04-26 05:53:17,,,,,,,,,,,,
P8751,Cenovus Project 3,8. Published,100%,BMLG,Contacts::::JP Lavesque,2012-04-19,2012-04-24,2,,,"Bill for:
Oil Density (one Sample) = $32.50
Oil viscosity (one sample) = $38.34
Surface tension (3 samples) = $28.8
Microscopic Oil Droplet Analysis (2 Samples) = $111
Particle Size Analysis (Core Labs, 2 samples) = $420
Dissolved Gas Analysis (Care labs, 2 Samples) =$415.90",,,,,,,,,,,,2012-04-25,Analysis,,2012-04-19 15:15:52,2012-08-01 06:12:23,,,,,,,,,,,,
P8750,6095 Holland St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-18,2012-04-19,1,AR-22916-01,,,,,,,,,,,,,,2012-04-18,--none--,,2012-04-18 18:19:02,2012-04-26 05:52:39,,,,,,,,,,,,
P8749,1089 Tall Tree Lane N Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-18,2012-04-19,1,AR-22899-01,,,,,,,,,,,,,,2012-04-18,--none--,,2012-04-18 18:14:52,2012-04-26 05:52:16,,,,,,,,,,,,
P8748,C5 Plus - 8812,9. Billed,100%,BMLC,Contacts::::Curt Lamontagne,2012-04-16,2012-04-20,8,AR-22908-01 - AR-22915-01,,,,,,,,,,,,,,2012-04-20,Analysis,,2012-04-18 17:00:12,2012-04-26 06:18:17,,,,,,,,,,,,
P8747,Western Site - 12-7729*4-37 1040 Barclay St. Van,9. Billed,100%,BMLC,Contacts::::Don Blair,2012-04-16,2012-04-18,1,AR-22890-01,,No Electronic C of C provided.,,,,,,,,,,,,2012-04-18,Analysis,,2012-04-18 16:30:24,2012-04-26 05:55:51,,,,,,,,,,,,
P8746,P8746 Terrawest COTC12-01,9. Billed,100%,BMLC,Contacts::::Blair Irwin,2012-04-16,2012-04-19,2,AR-22888-01 - AR-22889-01,,,,,,,,,,,,,,2012-04-19,Analysis,,2012-04-18 15:35:35,2013-05-01 19:20:17,,,,,,,,,,,,
P8745,MacDougall Asbestos,9. Billed,100%,BMLC,Contacts::::Laura MacDougall,2012-04-17,2012-04-18,1,AR-22887-01,,,,,,,,,,,,,,2012-04-18,Analysis,,2012-04-18 15:08:20,2012-04-19 21:50:05,,,,,,,,,,,,
P8744,3687 E 29 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-17,2012-04-18,4,AR-22883-01 to AR-22886-01,,,,,,,,,,,,,,2012-04-18,--none--,,2012-04-17 21:56:14,2012-04-26 05:51:52,,,,,,,,,,,,
P8743,2441 United Blvd Coq,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-17,2012-04-18,4,AR-22879-01 to AR-22882-01,,,,,,,,,,,,,,2012-04-18,--none--,,2012-04-17 21:48:12,2012-04-26 05:51:29,,,,,,,,,,,,
P8742,1872 Kingsway Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-17,2012-04-18,1,AR-22878-01,,,,,,,,,,,,,,2012-04-17,--none--,,2012-04-17 18:15:00,2012-04-26 05:50:57,,,,,,,,,,,,
P8741,1936 W 10 Ave Vancouver,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-16,2012-04-17,3,AR-22867-01 to AR-22869-01,,,,,,,,,,,,,,2012-04-17,--none--,,2012-04-16 23:53:50,2012-04-26 05:50:26,,,,,,,,,,,,
P8740,5353 Meadedale Dr Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-16,2012-04-17,2,AR-22865-01 to AR-22866-01,,,,,,,,,,,,,,2012-04-17,--none--,,2012-04-16 22:44:06,2012-04-26 05:49:57,,,,,,,,,,,,
P8739,Mold Squad PO# 155352,9. Billed,100%,BMLC,Contacts::::Leanne Ekstrand,2012-04-12,2012-04-16,3,,,,,,,,,,,,,,,2012-04-16,Analysis,,2012-04-16 15:18:29,2012-04-20 19:05:12,,,,,,,,,,,,
P8738,3300 Capilano Rd N Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-13,2012-04-16,2,AR-22832-01 - AR-22833-01,,,,,,,,,,,,,,2012-04-16,--none--,,2012-04-13 21:33:00,2012-04-16 19:55:00,,,,,,,,,,,,
P8737,1040 Barclay St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-13,2012-04-16,5,AR-22827-01 to AR-22831-01,,,,,,,,,,,,,,2012-04-16,--none--,,2012-04-13 18:41:26,2012-04-16 19:55:21,,,,,,,,,,,,
P8736,12-77293-37 Barclay St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-13,2012-04-16,3,AR-22824-01 to AR-22826-01,,,,,,,,,,,,,,2012-04-16,--none--,,2012-04-13 18:37:12,2012-04-16 19:55:43,,,,,,,,,,,,
P8735,3211 Dunbar St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-13,2012-04-16,1,AR-22823-01,,,,,,,,,,,,,,2012-04-16,--none--,,2012-04-13 18:17:50,2012-04-16 19:56:11,,,,,,,,,,,,
P8734,Tschetter Farms - Mixer Validation,9. Billed,100%,BMLC,Contacts::::Eddie Stahl,2012-04-12,2012-04-16,24,,,,,,,,,,,,,,,2012-04-17,Analysis,,2012-04-13 00:15:41,2012-04-20 19:08:10,,,,,,,,,,,,
P8733,Scott Anderson - Potability,9. Billed,100%,BMLC,Contacts::::Linda James,2012-04-12,2012-04-16,1,AR-22864-01,,CC # in folder,,,,,,,,,,,,2012-04-16,Analysis,,2012-04-13 00:14:38,2012-04-19 22:19:52,,,,,,,,,,,,
P8732,"Sunshine Village April 12, 2012",9. Billed,100%,BMLC,Contacts::::Dave Armstrong,2012-04-12,2012-04-19,3,AR-22858-01 - AR-22860-01,,,,,,,,,,,,,,2012-04-19,Analysis,,2012-04-13 00:13:56,2012-04-26 06:29:44,,,,,,,,,,,,
P8731,2861 Kitchener st Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-12,2012-04-13,13,AR-22784-01 to AR-22796-01,,,,,,,,,,,,,,2012-04-14,--none--,,2012-04-12 23:59:13,2012-04-16 19:56:32,,,,,,,,,,,,
P8730,8110 Lakefield Dr Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-11,2012-04-12,5,AR-22729-01 to AR-22733-01,,,,,,,,,,,,,,2012-04-12,--none--,,2012-04-11 18:32:20,2012-04-16 19:56:52,,,,,,,,,,,,
P8729,1277 Lasalle Pl Coq,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-11,2012-04-12,5,AR-22719-01 to AR-22723-01,,,,,,,,,,,,,,2012-04-12,--none--,,2012-04-11 18:26:00,2012-04-16 19:57:14,,,,,,,,,,,,
P8728,CNRL - March Britnell Samples,9. Billed,100%,BMLC,Contacts::::Darren Finnamore,2012-04-12,2012-04-17,46,AR-22735-01 - AR-22780-01,,,,,,,,,,,,,,2012-04-19,Analysis,,2012-04-11 15:59:47,2012-04-19 16:00:45,,,,,,,,,,,,
P8727,Ken Rogers,9. Billed,100%,BMLC,Contacts::::Polly Rogers,2012-04-11,2012-04-16,3,AR-22781-01 - AR-22783-01,,CC info in folder. Quote is posted as well.,,,,,,,,,,,,2012-04-16,Analysis,,2012-04-11 15:21:51,2012-04-20 18:00:12,,,,,,,,,,,,
P8726,Cenovus Christina Lake Sample,9. Billed,100%,BMLC,Contacts::::JP Lavesque,2012-04-10,2012-04-16,1,AR-22734-01,,"Analysis Run: Microscopic Particle Size
                      Toluene Insoluble Fraction
I'm not sure if there are hard prices set for these parameters or not (we just started doing these tests). If there are no prices available then bill for 2.5 hours @ $75/hour.",,,,,,,,,,,,2012-04-16,Analysis,,2012-04-11 15:11:36,2012-06-29 18:05:02,,,,,,,,,,,,
P8725,C5 Plus - VOC 8812,9. Billed,100%,BMLC,Contacts::::Curt Lamontagne,2012-04-05,2012-04-11,3,AR-22676-01 - AR-22678-01,,,,,,,,,,,,,,2012-04-12,Analysis,,2012-04-09 18:59:52,2012-04-17 19:59:58,,,,,,,,,,,,
P8724,32685 7 Ave Mission,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-09,2012-04-10,1,AR-22646-01,,,,,,,,,,,,,,2012-04-10,--none--,,2012-04-09 18:54:19,2012-04-16 19:57:31,,,,,,,,,,,,
P8723,3120 Trethway St Abb,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-09,2012-04-10,9,AR-22637-01 to AR-22645-01,,,,,,,,,,,,,,2012-04-10,--none--,,2012-04-09 18:43:17,2012-04-16 19:57:52,,,,,,,,,,,,
P8722,Geoff Hill - T30 Samples,9. Billed,100%,BMLC,Contacts::::Geoff B. Hill,2012-04-03,2012-04-10,14,AR-22623-01 - AR-22636-01,,"Ascaris results require 3 week incubation. Will report as soon as results are ready, everything else we be reported on April 10, 2012",,,,,,,,,,,,2012-04-11,Analysis,,2012-04-09 18:03:46,2012-04-17 20:02:33,,,,,,,,,,,,
P8721,Mold Squad PO#135398,9. Billed,100%,BMLC,Contacts::::Dieter Krause,2012-04-05,2012-04-10,3,AR-22620-01 - AR-22622-01,,,,,,,,,,,,,,2012-04-10,Analysis,,2012-04-09 17:31:30,2012-04-17 20:08:03,,,,,,,,,,,,
P8720,All Seasons,9. Billed,100%,BMLC,Contacts::::Stan Bittorf,2012-04-06,2012-04-11,20,AR-22699-01 - AR-22718-01,,,,,,,,,,,,,,2012-04-12,Analysis,,2012-04-06 00:37:21,2012-04-17 19:57:32,,,,,,,,,,,,
P8719,5707 Spruce St Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-05,2012-04-09,2,AR-22615-01 to AR-22616-01,,,,,,,,,,,,,,2012-04-10,--none--,,2012-04-05 23:39:31,2012-04-16 19:58:19,,,,,,,,,,,,
P8718,1480 Vidal St whiterock,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-05,2012-04-09,2,AR-22574-01 to AR-22575-01,,,,,,,,,,,,,,2012-04-10,--none--,,2012-04-05 23:12:23,2012-04-16 19:58:37,,,,,,,,,,,,
P8717,2754 Parker St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-05,2012-04-09,4,AR-22570-01 to AR-22573-01,,,,,,,,,,,,,,2012-04-10,--none--,,2012-04-05 22:15:12,2012-04-16 19:59:08,,,,,,,,,,,,
P8716,P8716 Terrawest PIMD12-01,9. Billed,100%,BMLC,Contacts::::Erich Bell,2012-04-05,2012-04-12,8,AR-22668-01 - AR-22675-01,,,,,,,,,,,,,,2012-04-12,Analysis,,2012-04-05 17:20:20,2013-05-01 19:23:19,,,,,,,,,,,,
P8715,4049 Arbutus St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-04-04,2012-04-05,1,AR-22569-01,,,,,,,,,,,,,,2012-04-05,--none--,,2012-04-04 21:01:57,2012-04-16 19:59:27,,,,,,,,,,,,
P8714,Western Site - 4470 Osler St. Vancouver,9. Billed,100%,BMLC,Contacts::::Don Blair,2012-04-03,2012-04-04,1,AR-22563-01,,,,,,,,,,,,,,2012-04-04,Analysis,,2012-04-04 20:02:16,2012-04-16 19:59:47,,,,,,,,,,,,
P8713,William Hansen,9. Billed,100%,BMLC,Contacts::::William Hansen,2012-04-03,2012-04-04,2,AR-22566-01 - AR-22567-01,,,,,,,,,,,,,,2012-04-04,Analysis,,2012-04-04 19:19:36,2012-04-09 19:38:48,,,,,,,,,,,,
